,team,result,details,drive_start,game_id
937,sea,TOUCHDOWN,"6 PLAYS, 76 YARDS, 3:33",1st & 10 at SEA 24,401326376
938,min,TOUCHDOWN,"9 PLAYS, 85 YARDS, 5:44",1st & 10 at MIN 15,401326376
939,sea,MISSED FG,"6 PLAYS, 53 YARDS, 2:14",1st & 10 at SEA 21,401326376
940,min,TOUCHDOWN,"12 PLAYS, 66 YARDS, 2:58",1st & 10 at MIN 34,401326376
941,sea,END OF HALF,"3 PLAYS, 54 YARDS, 0:16",1st & 10 at SEA 25,401326376
942,min,FIELD GOAL,"16 PLAYS, 50 YARDS, 8:26",1st & 10 at MIN 25,401326376
943,sea,PUNT,"5 PLAYS, 7 YARDS, 2:46",1st & 10 at SEA 25,401326376
944,min,FIELD GOAL,"11 PLAYS, 70 YARDS, 5:01",1st & 10 at MIN 15,401326376
945,sea,PUNT,"5 PLAYS, 18 YARDS, 2:08",1st & 10 at SEA 25,401326376
946,min,FIELD GOAL,"12 PLAYS, 88 YARDS, 7:08",1st & 10 at MIN 11,401326376
947,sea,DOWNS,"5 PLAYS, 32 YARDS, 2:03",1st & 10 at SEA 25,401326376
948,min,PUNT,"6 PLAYS, 11 YARDS, 2:05",1st & 10 at MIN 43,401326376
949,sea,END OF GAME,"4 PLAYS, 39 YARDS, 0:23",1st & 10 at SEA 1,401326376
950,gb,FIELD GOAL,"8 PLAYS, 39 YARDS, 4:54",1st & 10 at GB 25,401326377
951,sf,PUNT,"5 PLAYS, 16 YARDS, 2:41",1st & 10 at SF 25,401326377
952,gb,TOUCHDOWN,"7 PLAYS, 80 YARDS, 4:06",1st & 10 at GB 20,401326377
953,sf,PUNT,"3 PLAYS, 9 YARDS, 1:28",1st & 10 at SF 25,401326377
954,gb,PUNT,"5 PLAYS, 25 YARDS, 3:00",1st & 10 at GB 10,401326377
955,sf,INTERCEPTION,"1 PLAY, 0 YARDS, 0:15",1st & 10 at SF 14,401326377
956,gb,DOWNS,"6 PLAYS, 29 YARDS, 3:16",1st & 10 at SF 32,401326377
957,sf,PUNT,"10 PLAYS, 42 YARDS, 5:32",1st & 10 at SF 4,401326377
958,gb,TOUCHDOWN,"9 PLAYS, 87 YARDS, 3:46",1st & 10 at GB 13,401326377
959,sf,TOUCHDOWN,"8 PLAYS, 32 YARDS, 1:02",1st & 10 at GB 32,401326377
960,sf,TOUCHDOWN,"13 PLAYS, 83 YARDS, 7:19",1st & 10 at SF 17,401326377
961,gb,PUNT,"3 PLAYS, 8 YARDS, 1:43",1st & 10 at GB 23,401326377
962,sf,PUNT,"3 PLAYS, 7 YARDS, 1:34",1st & 10 at SF 28,401326377
963,gb,TOUCHDOWN,"10 PLAYS, 86 YARDS, 5:57",1st & 10 at GB 14,401326377
964,sf,TOUCHDOWN,"9 PLAYS, 81 YARDS, 5:39",1st & 10 at SF 19,401326377
965,gb,PUNT,"3 PLAYS, 0 YARDS, 0:30",1st & 10 at GB 25,401326377
966,sf,FUMBLE,"5 PLAYS, 15 YARDS, 2:20",1st & 10 at SF 26,401326377
967,gb,FIELD GOAL,"5 PLAYS, 18 YARDS, 2:19",1st & 10 at SF 38,401326377
968,sf,TOUCHDOWN,"8 PLAYS, 75 YARDS, 2:02",1st & 10 at SF 25,401326377
969,gb,FIELD GOAL,"6 PLAYS, 42 YARDS, 0:37",1st & 10 at GB 25,401326377
970,dal,TOUCHDOWN,"6 PLAYS, 75 YARDS, 3:13",1st & 10 at DAL 25,401326378
971,phi,INTERCEPTION,"3 PLAYS, 43 YARDS, 1:06",1st & 10 at PHI 25,401326378
972,dal,FUMBLE TOUCHDOWN,"2 PLAYS, -1 YARD, 0:44",1st & 10 at DAL 1,401326378
973,dal,DOWNS,"11 PLAYS, 74 YARDS, 4:14",1st & 10 at DAL 25,401326378
974,phi,PUNT,"3 PLAYS, 5 YARDS, 1:06",1st & 10 at PHI 1,401326378
975,dal,TOUCHDOWN,"6 PLAYS, 50 YARDS, 3:06",1st & 10 at 50,401326378
976,phi,PUNT,"3 PLAYS, 7 YARDS, 1:31",1st & 10 at PHI 25,401326378
977,dal,TOUCHDOWN,"13 PLAYS, 65 YARDS, 7:50",1st & 10 at DAL 35,401326378
978,phi,PUNT,"4 PLAYS, 29 YARDS, 2:10",1st & 10 at PHI 25,401326378
979,dal,PUNT,"3 PLAYS, 0 YARDS, 1:03",1st & 10 at DAL 6,401326378
980,phi,PUNT,"5 PLAYS, 27 YARDS, 3:46",1st & 10 at PHI 24,401326378
981,dal,END OF HALF,"1 PLAY, -1 YARD, 0:11",1st & 10 at DAL 11,401326378
982,phi,INTERCEPTION TOUCHDOWN,"3 PLAYS, 28 YARDS, 0:53",1st & 10 at PHI 25,401326378
983,phi,PUNT,"3 PLAYS, 4 YARDS, 1:22",1st & 10 at PHI 25,401326378
984,dal,PUNT,"3 PLAYS, 6 YARDS, 1:42",1st & 10 at DAL 32,401326378
985,phi,TOUCHDOWN,"8 PLAYS, 90 YARDS, 3:55",1st & 10 at PHI 10,401326378
986,dal,PUNT,"6 PLAYS, 24 YARDS, 3:06",1st & 10 at DAL 25,401326378
987,phi,PUNT,"3 PLAYS, -1 YARD, 1:24",1st & 10 at PHI 11,401326378
988,dal,TOUCHDOWN,"12 PLAYS, 61 YARDS, 6:12",1st & 10 at DAL 39,401326378
989,phi,DOWNS,"7 PLAYS, 6 YARDS, 3:10",1st & 10 at PHI 25,401326378
990,dal,TOUCHDOWN,"3 PLAYS, 31 YARDS, 1:20",1st & 10 at PHI 31,401326378
991,phi,TOUCHDOWN,"7 PLAYS, 75 YARDS, 3:47",1st & 10 at PHI 25,401326378
992,dal,PUNT,"3 PLAYS, -12 YARDS, 1:31",1st & 10 at DAL 25,401326378
993,phi,DOWNS,"4 PLAYS, 9 YARDS, 0:52",1st & 10 at PHI 35,401326378
994,dal,END OF GAME,"2 PLAYS, -2 YARDS, 0:46",1st & 10 at PHI 44,401326378
995,jax,PUNT,"7 PLAYS, 24 YARDS, 4:11",1st & 10 at JAX 25,401326379
996,cin,MISSED FG,"9 PLAYS, 66 YARDS, 5:28",1st & 10 at CIN 9,401326379
997,jax,TOUCHDOWN,"8 PLAYS, 67 YARDS, 3:53",1st & 10 at JAX 33,401326379
998,cin,PUNT,"3 PLAYS, 2 YARDS, 0:59",1st & 10 at CIN 25,401326379
999,jax,PUNT,"3 PLAYS, 3 YARDS, 1:19",1st & 10 at JAX 27,401326379
1000,cin,PUNT,"4 PLAYS, 17 YARDS, 2:15",1st & 10 at CIN 27,401326379
1001,jax,TOUCHDOWN,"12 PLAYS, 80 YARDS, 7:10",1st & 10 at JAX 20,401326379
1002,cin,PUNT,"3 PLAYS, 8 YARDS, 2:22",1st & 10 at CIN 14,401326379
1003,jax,DOWNS,"5 PLAYS, 61 YARDS, 1:30",1st & 10 at JAX 38,401326379
1004,cin,END OF HALF,"2 PLAYS, 4 YARDS, 0:53",1st & 10 at CIN 1,401326379
1005,cin,TOUCHDOWN,"4 PLAYS, 69 YARDS, 1:48",1st & 10 at CIN 31,401326379
1006,jax,PUNT,"3 PLAYS, 3 YARDS, 1:33",1st & 10 at JAX 25,401326379
1007,cin,TOUCHDOWN,"12 PLAYS, 86 YARDS, 6:29",1st & 10 at CIN 14,401326379
1008,jax,TOUCHDOWN,"11 PLAYS, 77 YARDS, 5:43",1st & 10 at JAX 23,401326379
1009,cin,TOUCHDOWN,"10 PLAYS, 75 YARDS, 5:28",1st & 10 at CIN 25,401326379
1010,jax,PUNT,"6 PLAYS, 25 YARDS, 3:26",1st & 10 at JAX 25,401326379
1011,cin,FIELD GOAL,"10 PLAYS, 73 YARDS, 5:33",1st & 10 at CIN 10,401326379
1012,atl,FIELD GOAL,"15 PLAYS, 68 YARDS, 8:00",1st & 10 at ATL 25,401326380
1013,wsh,PUNT,"6 PLAYS, 16 YARDS, 2:58",1st & 10 at WSH 33,401326380
1014,atl,PUNT,"5 PLAYS, 11 YARDS, 2:16",1st & 10 at ATL 14,401326380
1015,wsh,DOWNS,"8 PLAYS, 35 YARDS, 3:33",1st & 10 at WSH 29,401326380
1016,atl,TOUCHDOWN,"4 PLAYS, 64 YARDS, 2:06",1st & 10 at ATL 41,401326380
1017,wsh,TOUCHDOWN,"7 PLAYS, 77 YARDS, 3:12",1st & 10 at WSH 23,401326380
1018,atl,PUNT,"3 PLAYS, -5 YARDS, 1:48",1st & 10 at ATL 23,401326380
1019,wsh,TOUCHDOWN,"7 PLAYS, 63 YARDS, 4:03",1st & 10 at WSH 37,401326380
1020,atl,TOUCHDOWN,"11 PLAYS, 75 YARDS, 1:50",1st & 10 at ATL 25,401326380
1021,wsh,END OF HALF,"1 PLAY, -1 YARD, 0:14",1st & 10 at WSH 25,401326380
1022,wsh,TOUCHDOWN,"0 PLAYS, 0 YARDS, 0:13",& 0 at WSH -1,401326380
1023,atl,TOUCHDOWN,"8 PLAYS, 68 YARDS, 3:38",1st & 10 at ATL 32,401326380
1024,wsh,FIELD GOAL,"14 PLAYS, 73 YARDS, 5:38",1st & 10 at WSH 25,401326380
1025,atl,TOUCHDOWN,"13 PLAYS, 83 YARDS, 5:39",1st & 10 at ATL 17,401326380
1026,wsh,PUNT,"3 PLAYS, 5 YARDS, 2:04",1st & 10 at WSH 25,401326380
1027,atl,PUNT,"5 PLAYS, 16 YARDS, 2:48",1st & 10 at ATL 29,401326380
1028,wsh,TOUCHDOWN,"10 PLAYS, 70 YARDS, 6:08",1st & 10 at WSH 30,401326380
1029,atl,PUNT,"3 PLAYS, 6 YARDS, 2:05",1st & 10 at ATL 25,401326380
1030,wsh,TOUCHDOWN,"7 PLAYS, 76 YARDS, 1:14",1st & 10 at WSH 24,401326380
1031,atl,END OF GAME,"5 PLAYS, 38 YARDS, 0:33",1st & 10 at ATL 25,401326380
1032,hou,PUNT,"3 PLAYS, -8 YARDS, 2:38",1st & 10 at HOU 25,401326381
1033,buf,INTERCEPTION,"1 PLAY, 0 YARDS, 0:13",1st & 10 at BUF 34,401326381
1034,hou,DOWNS,"4 PLAYS, 7 YARDS, 2:02",1st & 10 at BUF 13,401326381
1035,buf,PUNT,"3 PLAYS, 5 YARDS, 1:34",1st & 10 at BUF 6,401326381
1036,hou,INTERCEPTION,"4 PLAYS, 12 YARDS, 1:32",1st & 10 at BUF 49,401326381
1037,buf,TOUCHDOWN,"9 PLAYS, 69 YARDS, 5:02",1st & 10 at BUF 31,401326381
1038,hou,PUNT,"3 PLAYS, -11 YARDS, 1:59",1st & 10 at HOU 19,401326381
1039,buf,FIELD GOAL,"5 PLAYS, 35 YARDS, 1:55",1st & 10 at 50,401326381
1040,hou,PUNT,"3 PLAYS, -9 YARDS, 2:22",1st & 10 at HOU 11,401326381
1041,buf,FIELD GOAL,"7 PLAYS, 41 YARDS, 3:31",1st & 10 at HOU 49,401326381
1042,hou,PUNT,"3 PLAYS, -5 YARDS, 1:44",1st & 10 at HOU 23,401326381
1043,buf,DOWNS,"7 PLAYS, 39 YARDS, 3:33",1st & 10 at BUF 21,401326381
1044,hou,INTERCEPTION,"1 PLAY, -15 YARDS, 0:15",1st & 10 at HOU 40,401326381
1045,buf,FIELD GOAL,"8 PLAYS, 41 YARDS, 1:17",1st & 10 at HOU 43,401326381
1046,hou,END OF HALF,"1 PLAY, 4 YARDS, 0:23",1st & 10 at HOU 25,401326381
1047,buf,FIELD GOAL,"11 PLAYS, 65 YARDS, 6:15",1st & 10 at BUF 25,401326381
1048,hou,PUNT,"6 PLAYS, 11 YARDS, 3:27",1st & 10 at HOU 25,401326381
1049,buf,TOUCHDOWN,"11 PLAYS, 84 YARDS, 6:49",1st & 10 at BUF 16,401326381
1050,hou,FUMBLE,"2 PLAYS, 12 YARDS, 0:30",1st & 10 at HOU 15,401326381
1051,buf,TOUCHDOWN,"4 PLAYS, 27 YARDS, 2:15",1st & 10 at HOU 27,401326381
1052,hou,INTERCEPTION,"6 PLAYS, 31 YARDS, 2:41",1st & 10 at HOU 25,401326381
1053,buf,TOUCHDOWN,"7 PLAYS, 53 YARDS, 4:27",1st & 10 at BUF 47,401326381
1054,hou,INTERCEPTION,"6 PLAYS, 27 YARDS, 2:12",1st & 10 at HOU 25,401326381
1055,buf,END OF GAME,"2 PLAYS, -2 YARDS, 1:24",1st & 10 at HOU 41,401326381
1056,chi,TOUCHDOWN,"12 PLAYS, 75 YARDS, 6:11",1st & 10 at CHI 25,401326382
1057,det,FUMBLE,"11 PLAYS, 63 YARDS, 6:05",1st & 10 at DET 27,401326382
1058,chi,TOUCHDOWN,"6 PLAYS, 89 YARDS, 2:53",1st & 10 at CHI 11,401326382
1059,det,DOWNS,"10 PLAYS, 70 YARDS, 5:16",1st & 10 at DET 25,401326382
1060,chi,PUNT,"3 PLAYS, 2 YARDS, 1:35",1st & 10 at CHI 5,401326382
1061,det,FUMBLE,"10 PLAYS, 35 YARDS, 5:01",1st & 10 at DET 45,401326382
1062,chi,INTERCEPTION,"7 PLAYS, 28 YARDS, 1:58",1st & 10 at CHI 23,401326382
1063,det,PUNT,"3 PLAYS, 1 YARD, 0:27",1st & 10 at DET 39,401326382
1064,chi,END OF HALF,"1 PLAY, 3 YARDS, 0:34",1st & 10 at CHI 4,401326382
1065,det,PUNT,"3 PLAYS, 8 YARDS, 1:38",1st & 10 at DET 21,401326382
1066,chi,TOUCHDOWN,"6 PLAYS, 77 YARDS, 2:49",1st & 10 at CHI 23,401326382
1067,det,PUNT,"4 PLAYS, 15 YARDS, 2:19",1st & 10 at DET 20,401326382
1068,chi,PUNT,"3 PLAYS, 6 YARDS, 1:33",1st & 10 at CHI 9,401326382
1069,det,TOUCHDOWN,"6 PLAYS, 44 YARDS, 3:22",1st & 10 at CHI 44,401326382
1070,chi,FIELD GOAL,"7 PLAYS, 60 YARDS, 3:09",1st & 10 at CHI 25,401326382
1071,det,TOUCHDOWN,"8 PLAYS, 75 YARDS, 3:53",1st & 10 at DET 25,401326382
1072,chi,PUNT,"5 PLAYS, -3 YARDS, 3:46",1st & 10 at CHI 31,401326382
1073,det,DOWNS,"12 PLAYS, 58 YARDS, 3:16",1st & 10 at DET 34,401326382
1074,chi,END OF GAME,"8 PLAYS, 44 YARDS, 4:15",1st & 10 at CHI 8,401326382
1075,dal,PUNT,"3 PLAYS, 4 YARDS, 1:22",1st & 10 at DAL 25,401326383
1076,car,PUNT,"3 PLAYS, -4 YARDS, 1:31",1st & 10 at CAR 20,401326383
1077,dal,TOUCHDOWN,"9 PLAYS, 70 YARDS, 4:40",1st & 10 at DAL 30,401326383
1078,car,TOUCHDOWN,"9 PLAYS, 75 YARDS, 4:46",1st & 10 at CAR 25,401326383
1079,dal,TOUCHDOWN,"9 PLAYS, 75 YARDS, 3:32",1st & 10 at DAL 25,401326383
1080,car,TOUCHDOWN,"13 PLAYS, 75 YARDS, 7:07",1st & 10 at CAR 25,401326383
1081,dal,PUNT,"6 PLAYS, 26 YARDS, 2:43",1st & 10 at DAL 25,401326383
1082,car,PUNT,"6 PLAYS, 16 YARDS, 2:39",1st & 10 at CAR 9,401326383
1083,dal,PUNT,"4 PLAYS, 20 YARDS, 0:52",1st & 10 at DAL 32,401326383
1084,car,END OF HALF,"2 PLAYS, -1 YARD, 0:48",1st & 10 at CAR 12,401326383
1085,car,MISSED FG,"6 PLAYS, 39 YARDS, 2:11",1st & 10 at CAR 25,401326383
1086,dal,TOUCHDOWN,"4 PLAYS, 56 YARDS, 2:00",1st & 10 at DAL 44,401326383
1087,car,PUNT,"3 PLAYS, -3 YARDS, 1:39",1st & 10 at CAR 25,401326383
1088,dal,TOUCHDOWN,"4 PLAYS, 66 YARDS, 1:49",1st & 10 at DAL 34,401326383
1089,car,INTERCEPTION,"7 PLAYS, 20 YARDS, 3:44",1st & 10 at CAR 25,401326383
1090,dal,TOUCHDOWN,"3 PLAYS, 37 YARDS, 1:20",1st & 10 at CAR 37,401326383
1091,car,INTERCEPTION,"3 PLAYS, 7 YARDS, 0:55",1st & 10 at CAR 25,401326383
1092,dal,FIELD GOAL,"4 PLAYS, 9 YARDS, 1:26",1st & 10 at CAR 29,401326383
1093,car,TOUCHDOWN,"10 PLAYS, 75 YARDS, 5:58",1st & 10 at CAR 25,401326383
1094,dal,PUNT,"4 PLAYS, 12 YARDS, 2:09",1st & 10 at DAL 25,401326383
1095,car,TOUCHDOWN,"7 PLAYS, 80 YARDS, 2:18",1st & 10 at CAR 20,401326383
1096,dal,END OF GAME,"7 PLAYS, 44 YARDS, 4:31",1st & 10 at DAL 19,401326383
1097,mia,PUNT,"6 PLAYS, 7 YARDS, 3:48",1st & 10 at MIA 25,401326384
1098,mia,FIELD GOAL,"4 PLAYS, 7 YARDS, 1:18",1st & 10 at IND 27,401326384
1099,ind,PUNT,"5 PLAYS, 4 YARDS, 3:56",1st & 10 at IND 26,401326384
1100,mia,PUNT,"12 PLAYS, 45 YARDS, 7:48",1st & 10 at MIA 13,401326384
1101,ind,PUNT,"5 PLAYS, 6 YARDS, 4:23",1st & 10 at IND 1,401326384
1102,mia,PUNT,"3 PLAYS, 4 YARDS, 0:46",1st & 10 at 50,401326384
1103,ind,TOUCHDOWN,"10 PLAYS, 80 YARDS, 5:14",1st & 10 at IND 20,401326384
1104,mia,PUNT,"3 PLAYS, 4 YARDS, 1:04",1st & 10 at MIA 25,401326384
1105,ind,PUNT,"7 PLAYS, 16 YARDS, 1:24",1st & 10 at IND 18,401326384
1106,mia,END OF HALF,"1 PLAY, -8 YARDS, 0:19",1st & 10 at MIA 29,401326384
1107,ind,TOUCHDOWN,"11 PLAYS, 84 YARDS, 6:31",1st & 10 at IND 16,401326384
1108,mia,PUNT,"3 PLAYS, 7 YARDS, 2:13",1st & 10 at MIA 25,401326384
1109,ind,PUNT,"4 PLAYS, 21 YARDS, 2:23",1st & 10 at IND 11,401326384
1110,ind,FIELD GOAL,"4 PLAYS, 2 YARDS, 2:59",1st & 10 at MIA 18,401326384
1111,mia,FUMBLE,"4 PLAYS, -2 YARDS, 1:07",1st & 10 at MIA 25,401326384
1112,ind,FIELD GOAL,"4 PLAYS, 5 YARDS, 1:30",1st & 10 at MIA 30,401326384
1113,mia,TOUCHDOWN,"8 PLAYS, 75 YARDS, 2:37",1st & 10 at MIA 25,401326384
1114,ind,TOUCHDOWN,"8 PLAYS, 60 YARDS, 4:25",1st & 10 at IND 40,401326384
1115,mia,TOUCHDOWN,"6 PLAYS, 75 YARDS, 1:51",1st & 10 at MIA 25,401326384
1116,ind,END OF GAME,"11 PLAYS, 53 YARDS, 4:24",1st & 10 at IND 40,401326384
1117,min,TOUCHDOWN,"14 PLAYS, 75 YARDS, 7:34",1st & 10 at MIN 25,401326385
1118,cle,DOWNS,"15 PLAYS, 57 YARDS, 7:37",1st & 10 at CLE 26,401326385
1119,min,PUNT,"3 PLAYS, 1 YARD, 1:01",1st & 10 at MIN 18,401326385
1120,cle,PUNT,"3 PLAYS, 6 YARDS, 1:36",1st & 10 at CLE 31,401326385
1121,min,DOWNS,"7 PLAYS, 34 YARDS, 2:17",1st & 10 at MIN 30,401326385
1122,cle,TOUCHDOWN,"18 PLAYS, 64 YARDS, 8:39",1st & 10 at CLE 36,401326385
1123,min,PUNT,"3 PLAYS, 0 YARDS, 0:31",1st & 10 at MIN 25,401326385
1124,cle,FIELD GOAL,"8 PLAYS, 34 YARDS, 0:43",1st & 10 at CLE 36,401326385
1125,min,END OF HALF,"1 PLAY, -1 YARD, 0:02",1st & 10 at MIN 25,401326385
1126,cle,PUNT,"3 PLAYS, 7 YARDS, 2:12",1st & 10 at CLE 25,401326385
1127,min,PUNT,"3 PLAYS, -2 YARDS, 2:07",1st & 10 at MIN 30,401326385
1128,cle,PUNT,"6 PLAYS, 27 YARDS, 3:59",1st & 10 at CLE 23,401326385
1129,min,PUNT,"3 PLAYS, 5 YARDS, 2:00",1st & 10 at MIN 14,401326385
1130,cle,PUNT,"5 PLAYS, 18 YARDS, 3:30",1st & 10 at CLE 35,401326385
1131,min,PUNT,"8 PLAYS, 41 YARDS, 4:01",1st & 10 at MIN 9,401326385
1132,cle,PUNT,"3 PLAYS, 2 YARDS, 1:04",1st & 10 at CLE 16,401326385
1133,min,PUNT,"3 PLAYS, 4 YARDS, 1:22",1st & 10 at MIN 18,401326385
1134,cle,FIELD GOAL,"7 PLAYS, 36 YARDS, 3:29",1st & 10 at CLE 30,401326385
1135,min,INTERCEPTION,"1 PLAY, 0 YARDS, 0:08",1st & 10 at MIN 25,401326385
1136,cle,PUNT,"5 PLAYS, 32 YARDS, 2:23",1st & 10 at CLE 21,401326385
1137,min,DOWNS,"8 PLAYS, 55 YARDS, 2:24",1st & 10 at MIN 12,401326385
1138,cle,PUNT,"3 PLAYS, 5 YARDS, 0:20",1st & 10 at CLE 33,401326385
1139,min,END OF GAME,"9 PLAYS, 46 YARDS, 1:01",1st & 10 at MIN 28,401326385
1140,nyg,PUNT,"3 PLAYS, 4 YARDS, 1:28",1st & 10 at NYG 15,401326386
1141,no,PUNT,"5 PLAYS, 13 YARDS, 2:04",1st & 10 at NO 47,401326386
1142,nyg,PUNT,"5 PLAYS, 14 YARDS, 2:04",1st & 10 at NYG 6,401326386
1143,no,DOWNS,"10 PLAYS, 44 YARDS, 5:40",1st & 10 at NO 29,401326386
1144,nyg,MISSED FG,"10 PLAYS, 57 YARDS, 5:29",1st & 10 at NYG 27,401326386
1145,no,MISSED FG,"8 PLAYS, 35 YARDS, 4:16",1st & 10 at NO 25,401326386
1146,nyg,TOUCHDOWN,"1 PLAY, 52 YARDS, 0:08",1st & 10 at NYG 48,401326386
1147,no,TOUCHDOWN,"13 PLAYS, 75 YARDS, 8:28",1st & 10 at NO 25,401326386
1148,nyg,INTERCEPTION,"3 PLAYS, 27 YARDS, 0:23",1st & 10 at NYG 25,401326386
1149,no,TOUCHDOWN,"3 PLAYS, 75 YARDS, 1:36",1st & 10 at NO 25,401326386
1150,nyg,FIELD GOAL,"10 PLAYS, 70 YARDS, 4:48",1st & 10 at NYG 25,401326386
1151,no,INTERCEPTION,"4 PLAYS, 19 YARDS, 2:28",1st & 10 at NO 25,401326386
1152,nyg,PUNT,"5 PLAYS, 18 YARDS, 2:45",1st & 10 at NYG 12,401326386
1153,no,TOUCHDOWN,"11 PLAYS, 63 YARDS, 6:14",1st & 10 at NO 37,401326386
1154,nyg,PUNT,"5 PLAYS, 28 YARDS, 2:45",1st & 10 at NYG 25,401326386
1155,no,PUNT,"3 PLAYS, 8 YARDS, 2:23",1st & 10 at NO 17,401326386
1156,nyg,TOUCHDOWN,"1 PLAY, 54 YARDS, 0:09",1st & 10 at NYG 46,401326386
1157,no,PUNT,"7 PLAYS, 33 YARDS, 3:51",1st & 10 at NO 13,401326386
1158,nyg,FIELD GOAL,"11 PLAYS, 59 YARDS, 2:30",1st & 10 at NYG 11,401326386
1159,no,END OF HALF,"2 PLAYS, 5 YARDS, 0:31",1st & 10 at NO 22,401326386
1160,nyg,TOUCHDOWN,"9 PLAYS, 75 YARDS, 5:06",1st & 10 at NYG 25,401326386
1161,nyj,PUNT,"3 PLAYS, 3 YARDS, 1:44",1st & 10 at NYJ 21,401326387
1162,ten,FIELD GOAL,"12 PLAYS, 31 YARDS, 6:10",1st & 10 at TEN 43,401326387
1163,nyj,PUNT,"5 PLAYS, 10 YARDS, 3:03",1st & 10 at NYJ 25,401326387
1164,ten,FIELD GOAL,"11 PLAYS, 56 YARDS, 6:10",1st & 10 at TEN 16,401326387
1165,nyj,INTERCEPTION,"2 PLAYS, 2 YARDS, 0:38",1st & 10 at NYJ 25,401326387
1166,ten,FIELD GOAL,"5 PLAYS, 14 YARDS, 1:46",1st & 10 at NYJ 32,401326387
1167,nyj,TOUCHDOWN,"11 PLAYS, 75 YARDS, 5:40",1st & 10 at NYJ 25,401326387
1168,ten,PUNT,"3 PLAYS, 8 YARDS, 1:27",1st & 10 at TEN 25,401326387
1169,nyj,PUNT,"3 PLAYS, -4 YARDS, 1:33",1st & 10 at TEN 45,401326387
1170,ten,END OF HALF,"7 PLAYS, 28 YARDS, 1:49",1st & 10 at TEN 9,401326387
1171,ten,PUNT,"6 PLAYS, 6 YARDS, 4:00",1st & 10 at TEN 25,401326387
1172,nyj,PUNT,"3 PLAYS, 9 YARDS, 2:06",1st & 10 at NYJ 20,401326387
1173,ten,PUNT,"8 PLAYS, 38 YARDS, 5:18",1st & 10 at TEN 19,401326387
1174,nyj,FIELD GOAL,"8 PLAYS, 78 YARDS, 3:17",1st & 10 at NYJ 13,401326387
1175,ten,TOUCHDOWN,"6 PLAYS, 75 YARDS, 2:05",1st & 10 at TEN 25,401326387
1176,nyj,TOUCHDOWN,"4 PLAYS, 77 YARDS, 1:44",1st & 10 at NYJ 23,401326387
1177,ten,PUNT,"3 PLAYS, 4 YARDS, 2:14",1st & 10 at TEN 25,401326387
1178,nyj,TOUCHDOWN,"1 PLAY, 53 YARDS, 0:10",1st & 10 at NYJ 47,401326387
1179,ten,PUNT,"3 PLAYS, 0 YARDS, 0:19",1st & 10 at TEN 25,401326387
1180,nyj,PUNT,"3 PLAYS, 6 YARDS, 1:51",1st & 10 at NYJ 34,401326387
1181,ten,DOWNS,"9 PLAYS, 45 YARDS, 3:15",1st & 10 at TEN 35,401326387
1182,nyj,PUNT,"5 PLAYS, 19 YARDS, 1:32",1st & 10 at NYJ 21,401326387
1183,ten,TOUCHDOWN,"11 PLAYS, 74 YARDS, 1:53",1st & 10 at TEN 26,401326387
1184,nyj,END OF HALF,"1 PLAY, -1 YARD, 0:16",1st & 10 at NYJ 17,401326387
1185,nyj,FIELD GOAL,"13 PLAYS, 71 YARDS, 5:29",1st & 10 at NYJ 25,401326387
1186,ten,MISSED FG,"13 PLAYS, 44 YARDS, 4:16",1st & 10 at TEN 25,401326387
1187,phi,FIELD GOAL,"8 PLAYS, 64 YARDS, 3:22",1st & 10 at PHI 25,401326388
1188,kc,TOUCHDOWN,"8 PLAYS, 77 YARDS, 3:36",1st & 10 at KC 23,401326388
1189,phi,TOUCHDOWN,"12 PLAYS, 84 YARDS, 6:05",1st & 10 at PHI 16,401326388
1190,kc,TOUCHDOWN,"12 PLAYS, 83 YARDS, 7:32",1st & 10 at KC 17,401326388
1191,phi,FIELD GOAL,"13 PLAYS, 68 YARDS, 5:50",1st & 10 at PHI 25,401326388
1192,kc,TOUCHDOWN,"8 PLAYS, 75 YARDS, 2:39",1st & 10 at KC 25,401326388
1193,phi,END OF HALF,"5 PLAYS, 16 YARDS, 0:56",1st & 10 at PHI 11,401326388
1194,kc,INTERCEPTION,"6 PLAYS, 16 YARDS, 2:51",1st & 10 at KC 30,401326388
1195,phi,FIELD GOAL,"10 PLAYS, 36 YARDS, 5:02",1st & 10 at KC 49,401326388
1196,kc,TOUCHDOWN,"11 PLAYS, 75 YARDS, 6:16",1st & 10 at KC 25,401326388
1197,phi,TOUCHDOWN,"7 PLAYS, 56 YARDS, 3:09",1st & 10 at PHI 48,401326388
1198,kc,TOUCHDOWN,"11 PLAYS, 75 YARDS, 5:58",1st & 10 at KC 25,401326388
1199,phi,DOWNS,"8 PLAYS, 40 YARDS, 2:18",1st & 10 at PHI 25,401326388
1200,kc,TOUCHDOWN,"6 PLAYS, 65 YARDS, 1:56",1st & 10 at KC 35,401326388
1201,phi,TOUCHDOWN,"10 PLAYS, 75 YARDS, 2:26",1st & 10 at PHI 25,401326388
1202,kc,END OF GAME,"1 PLAY, -1 YARD, 0:04",1st & 10 at KC 25,401326388
1203,lar,FIELD GOAL,"9 PLAYS, 52 YARDS, 3:42",1st & 10 at LAR 25,401326389
1204,ari,PUNT,"3 PLAYS, -9 YARDS, 1:26",1st & 10 at ARI 25,401326389
1205,lar,INTERCEPTION,"2 PLAYS, 7 YARDS, 0:55",1st & 10 at LAR 37,401326389
